Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-82.96,42.28,WINDSOR,6139525,1/1/2013,2013,1,1,-1,-9.2,-5.1,23.1,0,0,0,0,12,,<31
-82.96,42.28,WINDSOR,6139525,1/2/2013,2013,1,2,-4,-11.1,-7.6,25.6,0,0,0,0,10,,<31
-82.96,42.28,WINDSOR,6139525,1/3/2013,2013,1,3,-1.1,-8.1,-4.6,22.6,0,0,0,0,10,,<31
-82.96,42.28,WINDSOR,6139525,1/4/2013,2013,1,4,-1.6,-5.4,-3.5,21.5,0,0,0,0,10,23,50
-82.96,42.28,WINDSOR,6139525,1/5/2013,2013,1,5,0.5,-7.5,-3.5,21.5,0,0,1.8,1.4,9,,<31
-82.96,42.28,WINDSOR,6139525,1/6/2013,2013,1,6,2.4,0.2,1.3,16.7,0,0.2,0.4,0.6,10,,<31
-82.96,42.28,WINDSOR,6139525,1/7/2013,2013,1,7,1.6,-1.5,0.1,17.9,0,0,0,0,5,21,48
-82.96,42.28,WINDSOR,6139525,1/8/2013,2013,1,8,1.6,-3.4,-0.9,18.9,0,0,0,0,4,,<31
-82.96,42.28,WINDSOR,6139525,1/9/2013,2013,1,9,8.7,-0.3,4.2,13.8,0,0,0,0,3,26,54
-82.96,42.28,WINDSOR,6139525,1/10/2013,2013,1,10,4.7,-3.5,0.6,17.4,0,0.4,0,0.4,0,,<31
-82.96,42.28,WINDSOR,6139525,1/11/2013,2013,1,11,14,2.3,8.2,9.8,0,6.8,0,6.8,0,19,37
-82.96,42.28,WINDSOR,6139525,1/12/2013,2013,1,12,13.8,7.3,10.6,7.4,0,2.8,0,2.8,0,,<31
-82.96,42.28,WINDSOR,6139525,1/13/2013,2013,1,13,8.7,0.3,4.5,13.5,0,27.2,0,27.2,0,1,52
-82.96,42.28,WINDSOR,6139525,1/14/2013,2013,1,14,0.3,-5.6,-2.7,20.7,0,0,0,0,0,29,44
-82.96,42.28,WINDSOR,6139525,1/15/2013,2013,1,15,-0.6,-7.6,-4.1,22.1,0,0,0,0,0,,<31
-82.96,42.28,WINDSOR,6139525,1/16/2013,2013,1,16,2.9,-4.5,-0.8,18.8,0,0,0,0,0,23,41
-82.96,42.28,WINDSOR,6139525,1/17/2013,2013,1,17,3.3,-7.2,-2,20,0,0,0,0,0,32,44
-82.96,42.28,WINDSOR,6139525,1/18/2013,2013,1,18,2.5,-8.6,-3.1,21.1,0,0,0,0,0,21,59
-82.96,42.28,WINDSOR,6139525,1/19/2013,2013,1,19,8.4,2.2,5.3,12.7,0,0,0,0,0,23,61
-82.96,42.28,WINDSOR,6139525,1/20/2013,2013,1,20,6.6,-8.4,-0.9,18.9,0,0,0,0,0,27,89
-82.96,42.28,WINDSOR,6139525,1/21/2013,2013,1,21,-7,-14.8,-10.9,28.9,0,0,2,1.6,0,28,48
-82.96,42.28,WINDSOR,6139525,1/22/2013,2013,1,22,-11.8,-17.5,-14.7,32.7,0,0,2.8,1.8,1,27,48
-82.96,42.28,WINDSOR,6139525,1/23/2013,2013,1,23,-8.5,-16.7,-12.6,30.6,0,0,2.2,1,5,,<31
-82.96,42.28,WINDSOR,6139525,1/24/2013,2013,1,24,-6.1,-11.3,-8.7,26.7,0,0,0.8,0.4,5,33,33
-82.96,42.28,WINDSOR,6139525,1/25/2013,2013,1,25,-6.9,-10.4,-8.7,26.7,0,0,6.4,3,5,,<31
-82.96,42.28,WINDSOR,6139525,1/26/2013,2013,1,26,-2.5,-8.8,-5.7,23.7,0,0,0.6,0.2,9,,<31
-82.96,42.28,WINDSOR,6139525,1/27/2013,2013,1,27,-0.5,-12,-6.3,24.3,0,2.8,6.2,9,6,16,41
-82.96,42.28,WINDSOR,6139525,1/28/2013,2013,1,28,7.8,-0.6,3.6,14.4,0,1.6,0,1.6,7,23,33
-82.96,42.28,WINDSOR,6139525,1/29/2013,2013,1,29,14.5,1.9,8.2,9.8,0,15,0,15,0,19,48
-82.96,42.28,WINDSOR,6139525,1/30/2013,2013,1,30,15.6,0.9,8.3,9.7,0,10.4,0.2,10.6,0,20,72
